,Overs,Mdns,Runs,Wkts,Econ,Ave,SR,Opposition,Ground,Start Date,Match_ID,Bowler,Player_ID
5574,10,0,70,1,7,70,60,v England,Lord's,14-Jul-18,ODI # 4016,Hardik Pandya,625371
5575,5.3,0,39,0,7.09,-,-,v England,Leeds,17-Jul-18,ODI # 4018,Hardik Pandya,625371
5576,4.5,0,24,0,4.96,-,-,v Pakistan,Dubai (DSC),19-Sep-18,ODI # 4040,Hardik Pandya,625371
5577,10,0,45,2,4.5,22.5,30,v New Zealand,Mount Maunganui,28-Jan-19,ODI # 4088,Hardik Pandya,625371
5578,3,0,15,0,5,-,-,v New Zealand,Hamilton,31-Jan-19,ODI # 4091,Hardik Pandya,625371
5579,8,1,50,2,6.25,25,24,v New Zealand,Wellington,03-Feb-19,ODI # 4092,Hardik Pandya,625371
5580,10,0,40,2,4,20,30,v Australia,Sydney,23-Jan-16,ODI # 3727,Jasprit Bumrah,625383
5581,9.5,2,28,4,2.84,7,14.7,v Zimbabwe,Harare,11-Jun-16,ODI # 3742,Jasprit Bumrah,625383
5582,6,0,27,1,4.5,27,36,v Zimbabwe,Harare,13-Jun-16,ODI # 3744,Jasprit Bumrah,625383
5583,10,1,22,4,2.2,5.5,15,v Zimbabwe,Harare,15-Jun-16,ODI # 3746,Jasprit Bumrah,625383
5584,8,1,29,0,3.62,-,-,v New Zealand,Dharamsala,16-Oct-16,ODI # 3796,Jasprit Bumrah,625383
5585,10,0,35,3,3.5,11.66,20,v New Zealand,Delhi,20-Oct-16,ODI # 3797,Jasprit Bumrah,625383
5586,9.4,0,52,2,5.37,26,29,v New Zealand,Mohali,23-Oct-16,ODI # 3798,Jasprit Bumrah,625383
5587,5,0,16,1,3.2,16,30,v New Zealand,Visakhapatnam,29-Oct-16,ODI # 3800,Jasprit Bumrah,625383
5588,10,0,79,2,7.9,39.5,30,v England,Pune,15-Jan-17,ODI # 3819,Jasprit Bumrah,625383
5589,9,0,81,2,9,40.5,27,v England,Cuttack,19-Jan-17,ODI # 3821,Jasprit Bumrah,625383
5590,10,1,68,1,6.8,68,60,v England,Kolkata,22-Jan-17,ODI # 3824,Jasprit Bumrah,625383
5591,5,0,23,0,4.6,-,-,v Pakistan,Birmingham,04-Jun-17,ODI # 3878,Jasprit Bumrah,625383
5592,10,0,52,0,5.2,-,-,v Sri Lanka,The Oval,08-Jun-17,ODI # 3882,Jasprit Bumrah,625383
5593,8,0,28,2,3.5,14,24,v South Africa,The Oval,11-Jun-17,ODI # 3886,Jasprit Bumrah,625383
5594,10,1,39,2,3.9,19.5,30,v Bangladesh,Birmingham,15-Jun-17,ODI # 3891,Jasprit Bumrah,625383
5595,9,0,68,0,7.55,-,-,v Pakistan,The Oval,18-Jun-17,ODI # 3894,Jasprit Bumrah,625383
5596,6.2,0,22,2,3.47,11,19,v Sri Lanka,Dambulla,20-Aug-17,ODI # 3905,Jasprit Bumrah,625383
5597,10,2,43,4,4.3,10.75,15,v Sri Lanka,Pallekele,24-Aug-17,ODI # 3906,Jasprit Bumrah,625383
5598,10,2,27,5,2.7,5.4,12,v Sri Lanka,Pallekele,27-Aug-17,ODI # 3907,Jasprit Bumrah,625383
5599,7,0,32,2,4.57,16,21,v Sri Lanka,Colombo (RPS),31-Aug-17,ODI # 3908,Jasprit Bumrah,625383
5600,10,0,45,2,4.5,22.5,30,v Sri Lanka,Colombo (RPS),03-Sep-17,ODI # 3909,Jasprit Bumrah,625383
5601,4,0,20,1,5,20,24,v Australia,Chennai,17-Sep-17,ODI # 3910,Jasprit Bumrah,625383
5602,7,1,39,0,5.57,-,-,v Australia,Kolkata,21-Sep-17,ODI # 3912,Jasprit Bumrah,625383
5603,10,0,52,2,5.2,26,30,v Australia,Indore,24-Sep-17,ODI # 3914,Jasprit Bumrah,625383
5604,10,2,51,2,5.1,25.5,30,v Australia,Nagpur,01-Oct-17,ODI # 3919,Jasprit Bumrah,625383
5605,9,0,56,1,6.22,56,54,v New Zealand,Mumbai,22-Oct-17,ODI # 3928,Jasprit Bumrah,625383
5606,10,2,38,2,3.8,19,30,v New Zealand,Pune,25-Oct-17,ODI # 3931,Jasprit Bumrah,625383
5607,10,0,47,3,4.7,15.66,20,v New Zealand,Kanpur,29-Oct-17,ODI # 3932,Jasprit Bumrah,625383
5608,7,1,32,1,4.57,32,42,v Sri Lanka,Dharamsala,10-Dec-17,ODI # 3939,Jasprit Bumrah,625383
5609,10,0,43,2,4.3,21.5,30,v Sri Lanka,Mohali,13-Dec-17,ODI # 3941,Jasprit Bumrah,625383
5610,8,1,39,1,4.87,39,48,v Sri Lanka,Visakhapatnam,17-Dec-17,ODI # 3942,Jasprit Bumrah,625383
5611,10,0,56,1,5.6,56,60,v South Africa,Durban,01-Feb-18,ODI # 3969,Jasprit Bumrah,625383
5612,5,1,12,1,2.4,12,30,v South Africa,Centurion,04-Feb-18,ODI # 3970,Jasprit Bumrah,625383
5613,7,0,32,2,4.57,16,21,v South Africa,Cape Town,07-Feb-18,ODI # 3971,Jasprit Bumrah,625383
5614,5,0,21,1,4.2,21,30,v South Africa,Johannesburg,10-Feb-18,ODI # 3973,Jasprit Bumrah,625383
5615,7,0,22,1,3.14,22,42,v South Africa,Port Elizabeth,13-Feb-18,ODI # 3976,Jasprit Bumrah,625383
5616,8,1,24,2,3,12,24,v South Africa,Centurion,16-Feb-18,ODI # 3978,Jasprit Bumrah,625383
5617,7.1,2,23,2,3.2,11.5,21.5,v Pakistan,Dubai (DSC),19-Sep-18,ODI # 4040,Jasprit Bumrah,625383
5618,9.1,1,37,3,4.03,12.33,18.3,v Bangladesh,Dubai (DSC),21-Sep-18,ODI # 4042,Jasprit Bumrah,625383
5619,10,1,29,2,2.9,14.5,30,v Pakistan,Dubai (DSC),23-Sep-18,ODI # 4044,Jasprit Bumrah,625383
5620,8.3,0,39,1,4.58,39,51,v Bangladesh,Dubai (DSC),28-Sep-18,ODI # 4048,Jasprit Bumrah,625383
5621,10,1,35,4,3.5,8.75,15,v West Indies,Pune,27-Oct-18,ODI # 4062,Jasprit Bumrah,625383
5622,8,1,25,0,3.12,-,-,v West Indies,Mumbai (BS),29-Oct-18,ODI # 4063,Jasprit Bumrah,625383
5623,6,1,11,2,1.83,5.5,18,v West Indies,Thiruvananthapuram,01-Nov-18,ODI # 4064,Jasprit Bumrah,625383
5624,10,0,60,2,6,30,30,v Australia,Hyderabad (Deccan),02-Mar-19,ODI # 4102,Jasprit Bumrah,625383
5625,10,0,29,2,2.9,14.5,30,v Australia,Nagpur,05-Mar-19,ODI # 4106,Jasprit Bumrah,625383
5626,10,0,53,0,5.3,-,-,v Australia,Ranchi,08-Mar-19,ODI # 4109,Jasprit Bumrah,625383
5627,8.5,0,63,3,7.13,21,17.6,v Australia,Mohali,10-Mar-19,ODI # 4111,Jasprit Bumrah,625383
5628,10,0,39,0,3.9,-,-,v Australia,Delhi,13-Mar-19,ODI # 4113,Jasprit Bumrah,625383
5629,9,3,27,2,3,13.5,27,v Pakistan,Chennai,30-Dec-12,ODI # 3314,Bhuvneshwar Kumar,326016
5630,9,0,61,1,6.77,61,54,v Pakistan,Kolkata,03-Jan-13,ODI # 3315,Bhuvneshwar Kumar,326016
5631,10,2,31,2,3.1,15.5,30,v Pakistan,Delhi,06-Jan-13,ODI # 3316,Bhuvneshwar Kumar,326016
5632,7,0,52,0,7.42,-,-,v England,Rajkot,11-Jan-13,ODI # 3318,Bhuvneshwar Kumar,326016
5633,10,2,29,3,2.9,9.66,20,v England,Kochi,15-Jan-13,ODI # 3320,Bhuvneshwar Kumar,326016
5634,10,2,40,1,4,40,60,v England,Ranchi,19-Jan-13,ODI # 3322,Bhuvneshwar Kumar,326016
5635,10,2,30,0,3,-,-,v England,Mohali,23-Jan-13,ODI # 3327,Bhuvneshwar Kumar,326016
5636,9,1,45,0,5,-,-,v England,Dharamsala,27-Jan-13,ODI # 3329,Bhuvneshwar Kumar,326016
5637,7,0,49,2,7,24.5,21,v South Africa,Cardiff,06-Jun-13,ODI # 3363,Bhuvneshwar Kumar,326016
5638,8,0,32,1,4,32,48,v West Indies,The Oval,11-Jun-13,ODI # 3368,Bhuvneshwar Kumar,326016
5639,8,2,19,2,2.37,9.5,24,v Pakistan,Birmingham,15-Jun-13,ODI # 3372,Bhuvneshwar Kumar,326016
5640,9,2,18,1,2,18,54,v Sri Lanka,Cardiff,20-Jun-13,ODI # 3376,Bhuvneshwar Kumar,326016
5641,3,0,19,0,6.33,-,-,v England,Birmingham,23-Jun-13,ODI # 3377,Bhuvneshwar Kumar,326016
5642,7,1,36,1,5.14,36,42,v West Indies,Kingston,30-Jun-13,ODI # 3380,Bhuvneshwar Kumar,326016
5643,8,1,29,3,3.62,9.66,16,v West Indies,Port of Spain,05-Jul-13,ODI # 3383,Bhuvneshwar Kumar,326016
5644,6,1,8,4,1.33,2,9,v Sri Lanka,Port of Spain,09-Jul-13,ODI # 3387,Bhuvneshwar Kumar,326016
5645,8,4,24,2,3,12,24,v Sri Lanka,Port of Spain,11-Jul-13,ODI # 3388,Bhuvneshwar Kumar,326016
5646,7,2,41,0,5.85,-,-,v Australia,Pune,13-Oct-13,ODI # 3419,Bhuvneshwar Kumar,326016
5647,10,0,54,0,5.4,-,-,v Australia,Jaipur,16-Oct-13,ODI # 3420,Bhuvneshwar Kumar,326016
5648,10,1,50,1,5,50,60,v Australia,Mohali,19-Oct-13,ODI # 3421,Bhuvneshwar Kumar,326016
5649,8,0,42,1,5.25,42,48,v Australia,Nagpur,30-Oct-13,ODI # 3424,Bhuvneshwar Kumar,326016
5650,8,1,47,0,5.87,-,-,v Australia,Bengaluru,02-Nov-13,ODI # 3428,Bhuvneshwar Kumar,326016
5651,5,0,26,0,5.2,-,-,v West Indies,Kochi,21-Nov-13,ODI # 3436,Bhuvneshwar Kumar,326016
5652,9,1,56,2,6.22,28,27,v West Indies,Visakhapatnam,24-Nov-13,ODI # 3437,Bhuvneshwar Kumar,326016
5653,8,0,42,1,5.25,42,48,v West Indies,Kanpur,27-Nov-13,ODI # 3439,Bhuvneshwar Kumar,326016
5654,9,0,68,0,7.55,-,-,v South Africa,Johannesburg,05-Dec-13,ODI # 3442,Bhuvneshwar Kumar,326016
5655,10,0,38,1,3.8,38,60,v New Zealand,Napier,19-Jan-14,ODI # 3456,Bhuvneshwar Kumar,326016
5656,7,1,43,1,6.14,43,42,v New Zealand,Hamilton,22-Jan-14,ODI # 3458,Bhuvneshwar Kumar,326016
5657,9,0,48,1,5.33,48,54,v New Zealand,Auckland,25-Jan-14,ODI # 3462,Bhuvneshwar Kumar,326016
5658,10,0,62,0,6.2,-,-,v New Zealand,Hamilton,28-Jan-14,ODI # 3465,Bhuvneshwar Kumar,326016
5659,8,0,48,1,6,48,48,v New Zealand,Wellington,31-Jan-14,ODI # 3467,Bhuvneshwar Kumar,326016
5660,8,1,41,1,5.12,41,48,v Bangladesh,Fatullah,26-Feb-14,ODI # 3474,Bhuvneshwar Kumar,326016
5661,9.2,1,45,0,4.82,-,-,v Sri Lanka,Fatullah,28-Feb-14,ODI # 3476,Bhuvneshwar Kumar,326016
5662,10,0,56,2,5.6,28,30,v Pakistan,Dhaka,02-Mar-14,ODI # 3479,Bhuvneshwar Kumar,326016
5663,8,1,25,0,3.12,-,-,v Afghanistan,Dhaka,05-Mar-14,ODI # 3483,Bhuvneshwar Kumar,326016
5664,7,0,30,1,4.28,30,42,v England,Cardiff,27-Aug-14,ODI # 3517,Bhuvneshwar Kumar,326016
5665,8,0,45,1,5.62,45,48,v England,Nottingham,30-Aug-14,ODI # 3520,Bhuvneshwar Kumar,326016
5666,8,3,14,2,1.75,7,24,v England,Birmingham,02-Sep-14,ODI # 3523,Bhuvneshwar Kumar,326016
5667,8,0,45,1,5.62,45,48,v England,Leeds,05-Sep-14,ODI # 3525,Bhuvneshwar Kumar,326016
5668,10,1,38,0,3.8,-,-,v West Indies,Kochi,08-Oct-14,ODI # 3531,Bhuvneshwar Kumar,326016
5669,7,0,32,0,4.57,-,-,v West Indies,Delhi,11-Oct-14,ODI # 3533,Bhuvneshwar Kumar,326016
5670,10,2,25,2,2.5,12.5,30,v West Indies,Dharamsala,17-Oct-14,ODI # 3535,Bhuvneshwar Kumar,326016
5671,9.5,0,44,1,4.47,44,59,v Australia,Melbourne,18-Jan-15,ODI # 3582,Bhuvneshwar Kumar,326016
5672,2,0,18,0,9,-,-,v England,Brisbane,20-Jan-15,ODI # 3586,Bhuvneshwar Kumar,326016
5673,5,0,19,1,3.8,19,30,v U.A.E.,Perth,28-Feb-15,ODI # 3618,Bhuvneshwar Kumar,326016
5674,7,0,37,2,5.28,18.5,21,v Bangladesh,Dhaka,18-Jun-15,ODI # 3658,Bhuvneshwar Kumar,326016
5675,5,0,32,0,6.4,-,-,v Bangladesh,Dhaka,21-Jun-15,ODI # 3660,Bhuvneshwar Kumar,326016
5676,10,1,35,1,3.5,35,60,v Zimbabwe,Harare,10-Jul-15,ODI # 3662,Bhuvneshwar Kumar,326016
5677,10,3,33,4,3.3,8.25,15,v Zimbabwe,Harare,12-Jul-15,ODI # 3665,Bhuvneshwar Kumar,326016
5678,6,1,12,0,2,-,-,v Zimbabwe,Harare,14-Jul-15,ODI # 3667,Bhuvneshwar Kumar,326016
5679,10,0,67,0,6.7,-,-,v South Africa,Kanpur,11-Oct-15,ODI # 3689,Bhuvneshwar Kumar,326016
5680,8.4,0,41,3,4.73,13.66,17.3,v South Africa,Indore,14-Oct-15,ODI # 3692,Bhuvneshwar Kumar,326016
5681,10,1,65,0,6.5,-,-,v South Africa,Rajkot,18-Oct-15,ODI # 3695,Bhuvneshwar Kumar,326016
5682,10,0,68,3,6.8,22.66,20,v South Africa,Chennai,22-Oct-15,ODI # 3698,Bhuvneshwar Kumar,326016
5683,10,0,106,1,10.6,106,60,v South Africa,Mumbai,25-Oct-15,ODI # 3700,Bhuvneshwar Kumar,326016
5684,9,0,42,0,4.66,-,-,v Australia,Perth,12-Jan-16,ODI # 3723,Bhuvneshwar Kumar,326016
5685,8,0,69,0,8.62,-,-,v Australia,Canberra,20-Jan-16,ODI # 3726,Bhuvneshwar Kumar,326016
5686,10,1,63,1,6.3,63,60,v England,Cuttack,19-Jan-17,ODI # 3821,Bhuvneshwar Kumar,326016
5687,8,0,56,0,7,-,-,v England,Kolkata,22-Jan-17,ODI # 3824,Bhuvneshwar Kumar,326016
5688,5,1,23,1,4.6,23,30,v Pakistan,Birmingham,04-Jun-17,ODI # 3878,Bhuvneshwar Kumar,326016
5689,10,0,54,1,5.4,54,60,v Sri Lanka,The Oval,08-Jun-17,ODI # 3882,Bhuvneshwar Kumar,326016
5690,7.3,0,23,2,3.06,11.5,22.5,v South Africa,The Oval,11-Jun-17,ODI # 3886,Bhuvneshwar Kumar,326016
5691,10,1,53,2,5.3,26.5,30,v Bangladesh,Birmingham,15-Jun-17,ODI # 3891,Bhuvneshwar Kumar,326016
5692,10,2,44,1,4.4,44,60,v Pakistan,The Oval,18-Jun-17,ODI # 3894,Bhuvneshwar Kumar,326016
5694,5,1,9,2,1.8,4.5,15,v West Indies,Port of Spain,25-Jun-17,ODI # 3896,Bhuvneshwar Kumar,326016
5695,5,0,19,0,3.8,-,-,v West Indies,North Sound,30-Jun-17,ODI # 3898,Bhuvneshwar Kumar,326016
5696,6,0,33,0,5.5,-,-,v Sri Lanka,Dambulla,20-Aug-17,ODI # 3905,Bhuvneshwar Kumar,326016
5697,10,0,53,0,5.3,-,-,v Sri Lanka,Pallekele,24-Aug-17,ODI # 3906,Bhuvneshwar Kumar,326016
5698,9,2,41,0,4.55,-,-,v Sri Lanka,Pallekele,27-Aug-17,ODI # 3907,Bhuvneshwar Kumar,326016
5699,9.4,0,42,5,4.34,8.4,11.6,v Sri Lanka,Colombo (RPS),03-Sep-17,ODI # 3909,Bhuvneshwar Kumar,326016
5700,4,0,25,1,6.25,25,24,v Australia,Chennai,17-Sep-17,ODI # 3910,Bhuvneshwar Kumar,326016
5701,6.1,2,9,3,1.45,3,12.3,v Australia,Kolkata,21-Sep-17,ODI # 3912,Bhuvneshwar Kumar,326016
5702,10,0,52,0,5.2,-,-,v Australia,Indore,24-Sep-17,ODI # 3914,Bhuvneshwar Kumar,326016
5703,8,0,40,1,5,40,48,v Australia,Nagpur,01-Oct-17,ODI # 3919,Bhuvneshwar Kumar,326016
5704,10,0,56,1,5.6,56,60,v New Zealand,Mumbai,22-Oct-17,ODI # 3928,Bhuvneshwar Kumar,326016
5705,10,0,45,3,4.5,15,20,v New Zealand,Pune,25-Oct-17,ODI # 3931,Bhuvneshwar Kumar,326016
5706,10,0,92,1,9.2,92,60,v New Zealand,Kanpur,29-Oct-17,ODI # 3932,Bhuvneshwar Kumar,326016
5707,8.4,1,42,1,4.84,42,52,v Sri Lanka,Dharamsala,10-Dec-17,ODI # 3939,Bhuvneshwar Kumar,326016
5708,9,0,40,1,4.44,40,54,v Sri Lanka,Mohali,13-Dec-17,ODI # 3941,Bhuvneshwar Kumar,326016
5709,6.5,0,35,1,5.12,35,41,v Sri Lanka,Visakhapatnam,17-Dec-17,ODI # 3942,Bhuvneshwar Kumar,326016
5710,10,1,71,1,7.1,71,60,v South Africa,Durban,01-Feb-18,ODI # 3969,Bhuvneshwar Kumar,326016
5711,5,1,19,1,3.8,19,30,v South Africa,Centurion,04-Feb-18,ODI # 3970,Bhuvneshwar Kumar,326016
5712,7,0,41,0,5.85,-,-,v South Africa,Cape Town,07-Feb-18,ODI # 3971,Bhuvneshwar Kumar,326016
5713,4,0,27,0,6.75,-,-,v South Africa,Johannesburg,10-Feb-18,ODI # 3973,Bhuvneshwar Kumar,326016
5714,7,0,43,0,6.14,-,-,v South Africa,Port Elizabeth,13-Feb-18,ODI # 3976,Bhuvneshwar Kumar,326016
5715,7,0,49,0,7,-,-,v England,Leeds,17-Jul-18,ODI # 4018,Bhuvneshwar Kumar,326016
5716,9,0,50,0,5.55,-,-,v Hong Kong,Dubai (DSC),18-Sep-18,ODI # 4039,Bhuvneshwar Kumar,326016
5717,7,1,15,3,2.14,5,14,v Pakistan,Dubai (DSC),19-Sep-18,ODI # 4040,Bhuvneshwar Kumar,326016
5718,10,1,32,3,3.2,10.66,20,v Bangladesh,Dubai (DSC),21-Sep-18,ODI # 4042,Bhuvneshwar Kumar,326016
5719,9,0,46,0,5.11,-,-,v Pakistan,Dubai (DSC),23-Sep-18,ODI # 4044,Bhuvneshwar Kumar,326016
5720,7,0,33,0,4.71,-,-,v Bangladesh,Dubai (DSC),28-Sep-18,ODI # 4048,Bhuvneshwar Kumar,326016
5721,10,0,70,1,7,70,60,v West Indies,Pune,27-Oct-18,ODI # 4062,Bhuvneshwar Kumar,326016
5722,5,1,30,1,6,30,30,v West Indies,Mumbai (BS),29-Oct-18,ODI # 4063,Bhuvneshwar Kumar,326016
5723,4,1,11,1,2.75,11,24,v West Indies,Thiruvananthapuram,01-Nov-18,ODI # 4064,Bhuvneshwar Kumar,326016
5724,10,0,66,2,6.6,33,30,v Australia,Sydney,12-Jan-19,ODI # 4077,Bhuvneshwar Kumar,326016
5725,10,0,45,4,4.5,11.25,15,v Australia,Adelaide,15-Jan-19,ODI # 4078,Bhuvneshwar Kumar,326016
5726,8,1,28,2,3.5,14,24,v Australia,Melbourne,18-Jan-19,ODI # 4079,Bhuvneshwar Kumar,326016
5727,5,0,20,0,4,-,-,v New Zealand,Napier,23-Jan-19,ODI # 4082,Bhuvneshwar Kumar,326016
5728,7,1,42,2,6,21,21,v New Zealand,Mount Maunganui,26-Jan-19,ODI # 4085,Bhuvneshwar Kumar,326016
5729,10,1,46,2,4.6,23,30,v New Zealand,Mount Maunganui,28-Jan-19,ODI # 4088,Bhuvneshwar Kumar,326016
5730,5,1,25,2,5,12.5,15,v New Zealand,Hamilton,31-Jan-19,ODI # 4091,Bhuvneshwar Kumar,326016
5731,7.1,0,38,1,5.3,38,43,v New Zealand,Wellington,03-Feb-19,ODI # 4092,Bhuvneshwar Kumar,326016
5732,9,0,67,1,7.44,67,54,v Australia,Mohali,10-Mar-19,ODI # 4111,Bhuvneshwar Kumar,326016
5733,10,0,48,3,4.8,16,20,v Australia,Delhi,13-Mar-19,ODI # 4113,Bhuvneshwar Kumar,326016
5735,9,0,50,3,5.55,16.66,18,v West Indies,Port of Spain,25-Jun-17,ODI # 3896,Kuldeep Yadav,559235
5736,10,1,41,3,4.1,13.66,20,v West Indies,North Sound,30-Jun-17,ODI # 3898,Kuldeep Yadav,559235
5737,10,1,31,2,3.1,15.5,30,v West Indies,North Sound,02-Jul-17,ODI # 3900,Kuldeep Yadav,559235
5738,10,0,36,0,3.6,-,-,v West Indies,Kingston,06-Jul-17,ODI # 3902,Kuldeep Yadav,559235
5739,8.4,1,31,2,3.57,15.5,26,v Sri Lanka,Colombo (RPS),31-Aug-17,ODI # 3908,Kuldeep Yadav,559235
5740,10,0,40,1,4,40,60,v Sri Lanka,Colombo (RPS),03-Sep-17,ODI # 3909,Kuldeep Yadav,559235
5741,4,0,33,2,8.25,16.5,12,v Australia,Chennai,17-Sep-17,ODI # 3910,Kuldeep Yadav,559235
5742,10,1,54,3,5.4,18,20,v Australia,Kolkata,21-Sep-17,ODI # 3912,Kuldeep Yadav,559235
5743,10,0,75,2,7.5,37.5,30,v Australia,Indore,24-Sep-17,ODI # 3914,Kuldeep Yadav,559235
5744,10,1,48,0,4.8,-,-,v Australia,Nagpur,01-Oct-17,ODI # 3919,Kuldeep Yadav,559235
5745,10,0,64,1,6.4,64,60,v New Zealand,Mumbai,22-Oct-17,ODI # 3928,Kuldeep Yadav,559235
5747,10,0,42,3,4.2,14,20,v Sri Lanka,Visakhapatnam,17-Dec-17,ODI # 3942,Kuldeep Yadav,559235
5748,10,0,34,3,3.4,11.33,20,v South Africa,Durban,01-Feb-18,ODI # 3969,Kuldeep Yadav,559235
5749,6,0,20,3,3.33,6.66,12,v South Africa,Centurion,04-Feb-18,ODI # 3970,Kuldeep Yadav,559235
5750,9,1,23,4,2.55,5.75,13.5,v South Africa,Cape Town,07-Feb-18,ODI # 3971,Kuldeep Yadav,559235
5751,6,0,51,2,8.5,25.5,18,v South Africa,Johannesburg,10-Feb-18,ODI # 3973,Kuldeep Yadav,559235
5752,10,0,57,4,5.7,14.25,15,v South Africa,Port Elizabeth,13-Feb-18,ODI # 3976,Kuldeep Yadav,559235
5753,10,0,51,1,5.1,51,60,v South Africa,Centurion,16-Feb-18,ODI # 3978,Kuldeep Yadav,559235
5754,10,0,25,6,2.5,4.16,10,v England,Nottingham,12-Jul-18,ODI # 4014,Kuldeep Yadav,559235
5755,10,0,68,3,6.8,22.66,20,v England,Lord's,14-Jul-18,ODI # 4016,Kuldeep Yadav,559235
5756,10,0,55,0,5.5,-,-,v England,Leeds,17-Jul-18,ODI # 4018,Kuldeep Yadav,559235
5757,10,2,42,2,4.2,21,30,v Hong Kong,Dubai (DSC),18-Sep-18,ODI # 4039,Kuldeep Yadav,559235
5758,8,0,37,1,4.62,37,48,v Pakistan,Dubai (DSC),19-Sep-18,ODI # 4040,Kuldeep Yadav,559235
5759,10,0,34,0,3.4,-,-,v Bangladesh,Dubai (DSC),21-Sep-18,ODI # 4042,Kuldeep Yadav,559235
5760,10,0,41,2,4.1,20.5,30,v Pakistan,Dubai (DSC),23-Sep-18,ODI # 4044,Kuldeep Yadav,559235
5761,10,0,38,2,3.8,19,30,v Afghanistan,Dubai (DSC),25-Sep-18,ODI # 4046,Kuldeep Yadav,559235
5762,10,0,45,3,4.5,15,20,v Bangladesh,Dubai (DSC),28-Sep-18,ODI # 4048,Kuldeep Yadav,559235
5763,10,0,67,3,6.7,22.33,20,v West Indies,Visakhapatnam,24-Oct-18,ODI # 4059,Kuldeep Yadav,559235
5764,10,0,52,2,5.2,26,30,v West Indies,Pune,27-Oct-18,ODI # 4062,Kuldeep Yadav,559235
5765,8.2,0,42,3,5.04,14,16.6,v West Indies,Mumbai (BS),29-Oct-18,ODI # 4063,Kuldeep Yadav,559235
5766,5,1,18,1,3.6,18,30,v West Indies,Thiruvananthapuram,01-Nov-18,ODI # 4064,Kuldeep Yadav,559235
5767,10,0,54,2,5.4,27,30,v Australia,Sydney,12-Jan-19,ODI # 4077,Kuldeep Yadav,559235
5768,10,0,66,0,6.6,-,-,v Australia,Adelaide,15-Jan-19,ODI # 4078,Kuldeep Yadav,559235
5769,10,1,39,4,3.9,9.75,15,v New Zealand,Napier,23-Jan-19,ODI # 4082,Kuldeep Yadav,559235
5770,10,0,45,4,4.5,11.25,15,v New Zealand,Mount Maunganui,26-Jan-19,ODI # 4085,Kuldeep Yadav,559235
5771,8,0,39,0,4.87,-,-,v New Zealand,Mount Maunganui,28-Jan-19,ODI # 4088,Kuldeep Yadav,559235
5772,1,0,2,0,2,-,-,v New Zealand,Hamilton,31-Jan-19,ODI # 4091,Kuldeep Yadav,559235
5773,10,0,46,2,4.6,23,30,v Australia,Hyderabad (Deccan),02-Mar-19,ODI # 4102,Kuldeep Yadav,559235
5774,10,0,54,3,5.4,18,20,v Australia,Nagpur,05-Mar-19,ODI # 4106,Kuldeep Yadav,559235
5775,10,0,64,3,6.4,21.33,20,v Australia,Ranchi,08-Mar-19,ODI # 4109,Kuldeep Yadav,559235
5776,10,0,64,1,6.4,64,60,v Australia,Mohali,10-Mar-19,ODI # 4111,Kuldeep Yadav,559235
5777,10,0,74,1,7.4,74,60,v Australia,Delhi,13-Mar-19,ODI # 4113,Kuldeep Yadav,559235
5778,10,1,27,1,2.7,27,60,v Zimbabwe,Harare,11-Jun-16,ODI # 3742,Yuzvendra Chahal,430246
5779,6,2,25,3,4.16,8.33,12,v Zimbabwe,Harare,13-Jun-16,ODI # 3744,Yuzvendra Chahal,430246
5780,8,0,25,2,3.12,12.5,24,v Zimbabwe,Harare,15-Jun-16,ODI # 3746,Yuzvendra Chahal,430246
5781,10,0,60,2,6,30,30,v Sri Lanka,Dambulla,20-Aug-17,ODI # 3905,Yuzvendra Chahal,430246
5782,10,1,43,2,4.3,21.5,30,v Sri Lanka,Pallekele,24-Aug-17,ODI # 3906,Yuzvendra Chahal,430246
5783,10,0,49,0,4.9,-,-,v Sri Lanka,Pallekele,27-Aug-17,ODI # 3907,Yuzvendra Chahal,430246
5784,10,0,36,1,3.6,36,60,v Sri Lanka,Colombo (RPS),03-Sep-17,ODI # 3909,Yuzvendra Chahal,430246
5785,5,0,30,3,6,10,10,v Australia,Chennai,17-Sep-17,ODI # 3910,Yuzvendra Chahal,430246
5786,10,1,34,2,3.4,17,30,v Australia,Kolkata,21-Sep-17,ODI # 3912,Yuzvendra Chahal,430246
5787,10,0,54,1,5.4,54,60,v Australia,Indore,24-Sep-17,ODI # 3914,Yuzvendra Chahal,430246
5788,8,0,54,0,6.75,-,-,v Australia,Bengaluru,28-Sep-17,ODI # 3917,Yuzvendra Chahal,430246
5789,10,0,51,0,5.1,-,-,v New Zealand,Mumbai,22-Oct-17,ODI # 3928,Yuzvendra Chahal,430246
5790,8,1,36,2,4.5,18,24,v New Zealand,Pune,25-Oct-17,ODI # 3931,Yuzvendra Chahal,430246
5791,10,0,47,2,4.7,23.5,30,v New Zealand,Kanpur,29-Oct-17,ODI # 3932,Yuzvendra Chahal,430246
5793,10,0,60,3,6,20,20,v Sri Lanka,Mohali,13-Dec-17,ODI # 3941,Yuzvendra Chahal,430246
5794,10,3,46,3,4.6,15.33,20,v Sri Lanka,Visakhapatnam,17-Dec-17,ODI # 3942,Yuzvendra Chahal,430246
5795,10,0,45,2,4.5,22.5,30,v South Africa,Durban,01-Feb-18,ODI # 3969,Yuzvendra Chahal,430246
5796,8.2,1,22,5,2.64,4.4,10,v South Africa,Centurion,04-Feb-18,ODI # 3970,Yuzvendra Chahal,430246
